time_s,side,hip_angle_deg,knee_angle_deg,ankle_angle_deg,hip_speed_rad_s,knee_speed_rad_s,ankle_speed_rad_s,hip_accel_rad_s2,knee_accel_rad_s2,ankle_accel_rad_s2,hip_reaction_nm,knee_motor_nm,ankle_motor_nm,hip_power_w,knee_power_w,ankle_power_w
0.000000,left,-90.000000,0.000000,90.000000,-1.568282,-0.500426,0.630643,-2.884258,8.172752,6.503739,3.387313,4.318929,3.480111,-5.312260,-2.161306,2.194709
0.040000,left,-93.791700,-0.679100,91.860600,-1.635922,-0.036923,0.960997,-0.031646,8.568676,4.802099,9.444560,6.712514,3.407124,-15.450561,-0.247846,3.274235
0.080000,left,-97.471500,-0.307000,94.355700,-1.526294,0.366300,1.154081,2.651916,6.909100,1.654250,12.428335,7.769696,3.065133,-18.969296,2.846037,3.537413
0.120000,left,-100.765900,0.909400,97.141800,-1.300535,0.648345,1.156714,4.294733,3.814092,-2.027859,10.772981,7.004402,2.592923,-14.010636,4.541272,2.999269
0.160000,left,-103.375800,2.670400,99.638600,-1.050581,0.776936,0.959448,4.696886,0.002902,-5.354945,5.245369,4.803015,2.149374,-5.510687,3.731635,2.062213
0.200000,left,-105.510300,4.427000,101.543900,-0.825990,0.671091,0.606587,4.116082,-4.037472,-7.607473,-2.969209,1.629258,1.818992,2.452536,1.093381,1.103377
0.240000,left,-107.151700,5.730600,102.408100,-0.662354,0.363208,0.183250,2.854355,-7.192343,-8.354723,-11.868174,-1.720995,1.653996,7.860928,-0.625079,0.303095
0.280000,left,-108.586700,6.124600,102.298300,-0.572011,-0.073601,-0.227740,1.199756,-8.833142,-7.407508,-20.465240,-4.873285,1.669281,11.706344,0.358678,-0.380162
0.320000,left,-109.843600,5.340000,101.379600,-0.568695,-0.547100,-0.552557,-0.195636,-8.462153,-5.015623,-26.303356,-6.919331,1.861298,14.958581,3.785567,-1.028474
0.360000,left,-111.153300,3.586200,99.883900,-0.647998,-0.950226,-0.716903,-0.927513,-6.170598,-1.790457,-28.116381,-7.378217,2.188737,18.219369,7.010975,-1.569111
0.400000,left,-112.675400,1.092200,98.094200,-0.756676,-1.188942,-0.702834,-0.595412,-2.405778,1.341762,-24.785382,-5.890806,2.559462,18.754502,7.003826,-1.798876
0.440000,left,-114.619500,-1.825500,96.569600,-0.814054,-1.201794,-0.525866,0.474422,1.822646,3.672126,-18.415813,-3.313688,2.833696,14.991473,3.982371,-1.490145
